"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2023-04-08","82.4","1.88","6.23","Steele, Justin",641598,657006,,"called_strike",,,,,2,"Mitch Garver walks.","R","R","L","CHC","TEX","S",,,0,0,2023,"-0.99","0","-0.04","2.87",,,,2,6,"Top",,,,,543228,,,-2.446026696593351,-120.07669623625978,-1.1636986241727252,-9.0905216312562,22.740663163856595,-32.142781529972225,"3.37","1.57",,,,"82.1",2716,"5.9",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.56",,,,,,,,46,1,"Slider",3,1,1,3,1,3,1,3,"Standard","Standard",312,"0","-0.018"
"FF","2023-04-08","92.5","1.92","6.11","Steele, Justin",543257,657006,"strikeout","called_strike",,,,,2,"Robbie Grossman called out on strikes.","R","R","L","CHC","TEX","S",2,,1,2,2023,"-0.05","0.52","-0.04","2.92",,,,1,6,"Top",,,,,543228,,,-4.869294378690507,-134.7701288257853,-3.5278936195773474,0.34608472467369034,26.44676549967679,-25.27581824842168,"2.9","1.44",,,,"92.8",2398,"6.2",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.34",,,"0",1,0,0,,45,4,"4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard",165,"0.021","-0.118"
"FF","2023-04-08","91.9","1.87","6.1","Steele, Justin",543257,657006,,"swinging_strike",,,,,1,"Robbie Grossman called out on strikes.","R","R","L","CHC","TEX","S",,,1,1,2023,"-0.11","0.75","-0.78","2.74",,,,1,6,"Top",,,,,543228,,,-6.484140668694994,-133.85195466455275,-4.380731070452804,-0.10406167396862781,25.166286622049945,-22.447529771098637,"3.05","1.44",,,,"92.5",2498,"6.3",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.2",,,,,,,,45,3,"4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard",159,"0","-0.044"
"SL","2023-04-08","82.8","1.85","6.27","Steele, Justin",543257,657006,,"ball",,,,,7,"Robbie Grossman called out on strikes.","R","R","L","CHC","TEX","B",,,0,1,2023,"-0.95","-0.39","-0.66","1.32",,,,1,6,"Top",,,,,543228,,,-3.853079971286441,-120.56798903060958,-4.081840177644672,-8.625482802975936,21.90600808048648,-35.46529083294917,"3.03","1.35",,,,"82.4",2775,"5.8",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.67",,,,,,,,45,2,"Slider",3,1,1,3,1,3,1,3,"Standard","Standard",316,"0","0.02"
"SI","2023-04-08","91.5","1.88","6.07","Steele, Justin",543257,657006,,"swinging_strike",,,,,7,"Robbie Grossman called out on strikes.","R","R","L","CHC","TEX","S",,,0,0,2023,"0.23","0.64","-0.65","1.66",,,,1,6,"Top",,,,,543228,,,-6.847671302854591,-133.0308347754993,-6.591830784506833,4.232718698497017,28.513695591653924,-23.368389646812187,"3.05","1.44",,,,"90.9",2346,"6",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.5",,,,,,,,45,1,"Sinker",3,1,1,3,1,3,1,3,"Standard","Standard",159,"0","-0.027"
"FF","2023-04-08","91.4","1.98","6.12","Steele, Justin",673962,657006,"field_out","hit_into_play",,,,,5,"Josh Jung flies out to right fielder Patrick Wisdom.","R","R","L","CHC","TEX","X",9,"fly_ball",1,0,2023,"0.05","0.8","-0.04","2.91",,,,0,6,"Top",180.43,106.62,,,543228,,,-5.202938818795532,-133.12582471499252,-4.0321405958109,1.5684170551862882,24.53151142394592,-21.970338593009725,"3.65","1.73",266,"80.4",31,"91.9",2278,"6.2",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.29",0.069,0.062,"0",1,0,0,3,44,2,"4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard",159,"0.03","-0.274"
"FF","2023-04-08","89.1","1.84","6.21","Steele, Justin",673962,657006,,"ball",,,,,13,"Josh Jung flies out to right fielder Patrick Wisdom.","R","R","L","CHC","TEX","B",,,0,0,2023,"-0.14","0.91","-0.27","1.34",,,,0,6,"Top",,,,,543228,,,-4.850309533242143,-129.62706244020916,-7.826367281542139,-0.6263885841072953,26.223366410203656,-20.49710165069319,"3.46","1.59",,,,"88.7",2372,"6",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.54",,,,,,,,44,1,"4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard",162,"0","0.037"
"FF","2023-04-08","94.1","1.84","6.08","Steele, Justin",666969,657006,"field_out","hit_into_play",,,,,2,"Adolis Garcia lines out to center fielder Cody Bellinger.","R","R","L","CHC","TEX","X",8,"line_drive",1,2,2023,"0.11","1.21","0.05","3.24",,,,2,5,"Top",135.78,80.12,,,543228,,,-4.908541470164872,-137.05978986562098,-4.377578874961439,2.352395774815646,28.360290023471848,-16.191588798556253,"3.43","1.74",298,"81.2",31,"94.7",2530,"6.5",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.04",0.054,0.056,"0",1,0,0,3,40,4,"4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard",159,"0.012","-0.073"
"SL","2023-04-08","84.3","1.81","6.15","Steele, Justin",666969,657006,,"swinging_strike",,,,,13,"Adolis Garcia lines out to center fielder Cody Bellinger.","R","R","L","CHC","TEX","S",,,1,1,2023,"-1.19","-0.21","-0.95","1.37",,,,2,5,"Top",,,,,543228,,,-4.026227024866942,-122.74765669246901,-4.300714691918217,-11.107308413584986,25.55807650039586,-33.579708355234175,"3.43","1.74",,,,"83.8",2682,"6.1",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.43",,,,,,,,40,3,"Slider",3,1,1,3,1,3,1,3,"Standard","Standard",319,"0","-0.029"
"FF","2023-04-08","92.3","1.84","6.2","Steele, Justin",666969,657006,,"foul",,,,,5,"Adolis Garcia lines out to center fielder Cody Bellinger.","R","R","L","CHC","TEX","S",,,1,0,2023,"-0.05","1.03","0.04","2.55",,,,2,5,"Top",,,,,543228,,,-4.46319013961313,-134.33472134414876,-5.784295786310545,0.22106532390658434,25.77826162777571,-18.71670061820411,"3.43","1.74",189,"74.3",57,"92.8",2415,"6.3",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.16",,,,,,,,40,2,"4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard",165,"0","-0.022"
"SL","2023-04-08","84.1","1.8","6.16","Steele, Justin",666969,657006,,"ball",,,,,13,"Adolis Garcia lines out to center fielder Cody Bellinger.","R","R","L","CHC","TEX","B",,,0,0,2023,"-0.95","-0.41","-1.33","0.06",,,,2,5,"Top",,,,,543228,,,-5.331486245345704,-122.28530880376141,-6.856502805760491,-8.339180860332698,26.4766487735924,-34.963115219346506,"3.18","1.59",,,,"83.3",2729,"6",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.46",,,,,,,,40,1,"Slider",3,1,1,3,1,3,1,3,"Standard","Standard",320,"0","0.018"
"SI","2023-04-08","91.9","1.66","6.17","Steele, Justin",663993,657006,"field_out","hit_into_play",,,,,5,"Nathaniel Lowe grounds out softly, pitcher Justin Steele to first baseman Trey Mancini.","R","L","L","CHC","TEX","X",1,"ground_ball",3,2,2023,"0.47","1.12","0.22","2.89",,,,1,5,"Top",132.9,193.74,,,543228,,,-4.68671041200499,-133.8030292011717,-4.934048862874822,6.707719199444039,28.371000102402707,-17.82413300297073,"3.51","1.65",1,"74.8",-73,"92.2",2419,"6.4",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.12",0.226,0.203,"0",1,0,0,2,39,7,"Sinker",3,1,1,3,1,3,1,3,"Standard","Standard",155,"0.019","-0.206"
"FF","2023-04-08","92.3","1.77","6.19","Steele, Justin",663993,657006,,"ball",,,,,12,"Nathaniel Lowe grounds out softly, pitcher Justin Steele to first baseman Trey Mancini.","R","L","L","CHC","TEX","B",,,2,2,2023,"0.02","0.94","1.32","3.11",,,,1,5,"Top",,,,,543228,,,-1.17973735121242,-134.43854893584495,-4.1200922509306235,0.49891747793933017,26.790172313257848,-20.06928643002118,"3.21","1.54",,,,"92.5",2330,"6.2",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.31",,,,,,,,39,6,"4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard",162,"0","0.06"
"FF","2023-04-08","92.6","1.76","6.17","Steele, Justin",663993,657006,,"foul",,,,,5,"Nathaniel Lowe grounds out softly, pitcher Justin Steele to first baseman Trey Mancini.","R","L","L","CHC","TEX","S",,,2,2,2023,"-0.21","1.01","0.15","2.36",,,,1,5,"Top",,,,,543228,,,-3.634062335966375,-134.70652625634753,-6.103803265758418,-1.7603246598793185,29.512787102666714,-18.78880891805082,"3.51","1.65",180,"74.9",18,"92.2",2442,"6.1",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.42",,,,,,,,39,5,"4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard",159,"0","0"
"FF","2023-04-08","92.5","1.94","6.18","Steele, Justin",663993,657006,,"called_strike",,,,,3,"Nathaniel Lowe grounds out softly, pitcher Justin Steele to first baseman Trey Mancini.","R","L","L","CHC","TEX","S",,,2,1,2023,"-0.24","0.82","0.62","2.8",,,,1,5,"Top",,,,,543228,,,-2.8535080881136876,-134.73133784006592,-4.6174649261734695,-2.323461567959615,29.261438372115727,-21.4500405680947,"3.25","1.5",,,,"92.6",2448,"6.3",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.2",,,,,,,,39,4,"4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard",155,"0","-0.049"
"FF","2023-04-08","92.8","1.77","6.19","Steele, Justin",663993,657006,,"ball",,,,,13,"Nathaniel Lowe grounds out softly, pitcher Justin Steele to first baseman Trey Mancini.","R","L","L","CHC","TEX","B",,,1,1,2023,"-0.02","0.96","-0.45","1.42",,,,1,5,"Top",,,,,543228,,,-5.630944722387108,-134.93587202848676,-8.57858428978577,0.7694980573915378,24.41840211225857,-18.940972350734643,"3.29","1.56",,,,"93.2",2546,"6.2",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.32",,,,,,,,39,3,"4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard",154,"0","0.033"
"FF","2023-04-08","91.8","1.58","6.3","Steele, Justin",663993,657006,,"ball",,,,,13,"Nathaniel Lowe grounds out softly, pitcher Justin Steele to first baseman Trey Mancini.","R","L","L","CHC","TEX","B",,,0,1,2023,"0","0.99","-1.07","1.76",,,,1,5,"Top",,,,,543228,,,-6.6714112391560025,-133.45138800829378,-7.794897870848853,1.392573405536956,28.659522405540297,-18.79852044506257,"3.51","1.65",,,,"91.7",2501,"6.3",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.22",,,,,,,,39,2,"4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard",162,"0","0.02"
"SL","2023-04-08","82.9","1.84","6.21","Steele, Justin",663993,657006,,"called_strike",,,,,7,"Nathaniel Lowe grounds out softly, pitcher Justin Steele to first baseman Trey Mancini.","R","L","L","CHC","TEX","S",,,0,0,2023,"-1.11","-0.06","-0.51","1.74",,,,1,5,"Top",,,,,543228,,,-3.1929637650073976,-120.6966482561967,-3.558122141888963,-10.137651556165993,25.740786816679346,-32.23768128897439,"3.19","1.44",,,,"82.5",2815,"6.2",718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,"54.26",,,,,,,,39,1,"Slider",3,1,1,3,1,3,1,3,"Standard","Standard",311,"0","-0.027"
